"","redirect_url","salary_min","__CLASS__","salary_max","title","latitude","id","salary_is_predicted","longitude","description","created","adref","contract_type","contract_time","label","__CLASS__","tag","__CLASS__","display_name","display_name","area","__CLASS__"
"1","https://www.adzuna.co.uk/jobs/land/ad/1868884433?se=boG9tb876xGPB9peUQpBOw&utm_medium=api&utm_source=f0c87e31&v=D645F1EDED768FCF2D1B98019BA691913929DF81",30000,"Adzuna::API::Response::Job",35000,"Technical Consultant",50.733799,"1868884433","0",-1.77602,"Are you looking for a new career in software & technical consulting? Would you like to use your technical abilities, whilst also performing project, implementation & Pre Sales work with some of the UK's best known names? If so, we are on the look out for 2 more individuals to add into our consulting team. You will thrive in a small business environment, where you'll need to get involved in all aspects of professional services implementation; from Pre-Sales work, right through to post-sales impl¡­","2020-12-08T12:20:01Z","eyJhbGciOiJIUzI1NiJ9.eyJpIjoiMTg2ODg4NDQzMyIsInMiOiJib0c5dGI4NzZ4R1BCOXBlVVFwQk93In0.Pht-vEvJEEnS5JKK2v3BOtU4LSgrItN3LTvMhf_6z_4",NA,NA,"IT Jobs","Adzuna::API::Response::Category","it-jobs","Adzuna::API::Response::Company","Hireful Agency","Christchurch, Dorset","c(""UK"", ""South West England"", ""Dorset"", ""Christchurch"")","Adzuna::API::Response::Location"
"2","https://www.adzuna.co.uk/jobs/land/ad/1833605847?se=boG9tb876xGPB9peUQpBOw&utm_medium=api&utm_source=f0c87e31&v=4827C7483FE8AAC303CA81054085D8D96E90EB14",70000,"Adzuna::API::Response::Job",1e+05,"Principal Analog/RF IC Design Engineer",51.731701,"1833605847","0",-2.36398,"A new and exciting opportunity has arisen to join an expanding company working developing high tech communications and radar technologies. In this role you will have the opportunity to work on antenna technology to serve markets including; broadband mobility, satellite communications and Internet of Things (IoT). As a Principal Analog/RF IC Design Engineer you will be tasked to work on the specification, architecture design and circuit design of key circuits as well as sub-systems of integrated¡­","2020-11-19T18:04:45Z","eyJhbGciOiJIUzI1NiJ9.eyJzIjoiYm9HOXRiODc2eEdQQjlwZVVRcEJPdyIsImkiOiIxODMzNjA1ODQ3In0.yl_a5i4Nsmdawr-FSORXNoqXW1ri0GQFDTsZA8oLm04",NA,NA,"Engineering Jobs","Adzuna::API::Response::Category","engineering-jobs","Adzuna::API::Response::Company","IC Resources","Cambridge, Gloucester","c(""UK"", ""South West England"", ""Gloucestershire"", ""Gloucester"", ""Cambridge"")","Adzuna::API::Response::Location"
"3","https://www.adzuna.co.uk/jobs/land/ad/1831249137?se=boG9tb876xGPB9peUQpBOw&utm_medium=api&utm_source=f0c87e31&v=858BE59852E5DAE5298C3BB2A32DA6005B54252C",120000,"Adzuna::API::Response::Job",120000,"Private Equity Lawyer - elite City team - 1-4 PQE",NA,"1831249137","0",NA,"We are instructed by a premium private equity team in London. This team acts on some of the best work in this area in the City, advising an enviable client list of corporates, institutions and management groups across the entirety of private equity matters including high-profile investments and buy-outs. You will currently be working with a City corporate or specialist private equity team and have excellent technical and client-facing skills. You will get superb client contact together with as ¡­","2020-11-18T19:49:03Z","eyJhbGciOiJIUzI1NiJ9.eyJpIjoiMTgzMTI0OTEzNyIsInMiOiJib0c5dGI4NzZ4R1BCOXBlVVFwQk93In0.QpX-72ALYspm92VP3dzJSwpHoVd9Pps5oRqFhuKPSTk","permanent",NA,"Legal Jobs","Adzuna::API::Response::Category","legal-jobs","Adzuna::API::Response::Company","Jameson Legal","The City, Central London","c(""UK"", ""London"", ""Central London"", ""The City"")","Adzuna::API::Response::Location"
"4","https://www.adzuna.co.uk/jobs/land/ad/1862864803?se=boG9tb876xGPB9peUQpBOw&utm_medium=api&utm_source=f0c87e31&v=537C2DC459B0CEB357959FBC600DA87401D605D6",65000,"Adzuna::API::Response::Job",75000,"Senior Java Developer (Java 8, AWS/Azure, Microservices, REST API)",51.452002,"1862864803","0",-0.937789,"Senior Java Developer (Java 8, AWS/Azure, Microservices, REST API) - Telecoms - Berkshire - ¡ê65,000 - ¡ê75,000 (FULLY REMOTE) - Would you like to work for an award winning company? - Do you have a passion for making significant contributions to technical roadmaps? - Are you highly skilled in API development and Cloud technologies? I have the enormous pleasure of supporting this global juggernaut of a company as they continue to grow their technical teams, they have recently acquired new platform¡­","2020-12-05T04:18:28Z","eyJhbGciOiJIUzI1NiJ9.eyJzIjoiYm9HOXRiODc2eEdQQjlwZVVRcEJPdyIsImkiOiIxODYyODY0ODAzIn0.l3jRCJ5n4F2Unml8ZZW-Jm0uPVuWHsfV5g3AVlZy0gE",NA,NA,"IT Jobs","Adzuna::API::Response::Category","it-jobs","Adzuna::API::Response::Company","Premier IT","Berkshire, South East England","c(""UK"", ""South East England"", ""Berkshire"")","Adzuna::API::Response::Location"
"5","https://www.adzuna.co.uk/jobs/land/ad/1838703450?se=boG9tb876xGPB9peUQpBOw&utm_medium=api&utm_source=f0c87e31&v=BDF804EF87B5A643FE87D8B318D29EF01FE6B088",30000,"Adzuna::API::Response::Job",50000,"Remote C# .Net Developer",51.7523,"1838703450","0",-1.25588,"Our client is a leader in technical solutions, in a variety of commercial and applications sectors. Using the latest technologies they provide solutions to worldwide clients in diverse markets including public transport, aviation, automotive, manufacturing, logistics, gaming and retail. Responsibilities: Analysing application specifications and technology approaches to ensure business requirements are met and are scalable for future product releases. Web portals enhancements Working with busine¡­","2020-11-22T16:29:21Z","eyJhbGciOiJIUzI1NiJ9.eyJzIjoiYm9HOXRiODc2eEdQQjlwZVVRcEJPdyIsImkiOiIxODM4NzAzNDUwIn0.Ri7_VZTtnsgNt1GRKD8NjLGPa2g42Uo4ySkDzh7FM5E",NA,NA,"IT Jobs","Adzuna::API::Response::Category","it-jobs","Adzuna::API::Response::Company","Exposed Solutions","Oxford, Oxfordshire","c(""UK"", ""South East England"", ""Oxfordshire"", ""Oxford"")","Adzuna::API::Response::Location"
"6","https://www.adzuna.co.uk/jobs/land/ad/1851459735?se=boG9tb876xGPB9peUQpBOw&utm_medium=api&utm_source=f0c87e31&v=6458FA7A2CE07E6AE9D1354757CF9DE905E82DA0",32000,"Adzuna::API::Response::Job",46000,"Nurse",53.747601,"1851459735","0",-3.01629,"Location ¨C Lytham St Annes Full, Part Time and Bank available Family run home with good reputation Criteria NMC PIN RGN, RMN or RNLD Considered Ideally Nursing Home experience, but not essential Benefits Great rates of pay, increasing with experience Progression within, up to management Beautiful setting Lovely team of staff Responsible for, but not limited to the following: To give and receive reports on clients, thereby creating a seamless programme of care. To act as a clinical and professio¡­","2020-11-30T04:12:49Z","eyJhbGciOiJIUzI1NiJ9.eyJpIjoiMTg1MTQ1OTczNSIsInMiOiJib0c5dGI4NzZ4R1BCOXBlVVFwQk93In0.FK2AmSDlNklhCJUD5S_ad_DLhbrkjEyUWhuT8P731-M",NA,NA,"Healthcare & Nursing Jobs","Adzuna::API::Response::Category","healthcare-nursing-jobs","Adzuna::API::Response::Company","Nurse Seekers","Lytham, Lytham St. Annes","c(""UK"", ""North West England"", ""Lancashire"", ""Lytham St. Annes"", ""Lytham"")","Adzuna::API::Response::Location"
"7","https://www.adzuna.co.uk/jobs/land/ad/1862864909?se=boG9tb876xGPB9peUQpBOw&utm_medium=api&utm_source=f0c87e31&v=F7388CD052E2A57CAF0259F58E95B936EE92F48D",30000,"Adzuna::API::Response::Job",40000,"Software Developer",52.513,"1862864909","0",-2.20384,"Software Developer Swindon Up to ¡ê40,000 A Software Developer is required to join a market leading provider of Automotive Aftermarket Solutions. You will be required to support and develop the current and future product range. The successful Software Developer will join a small team of developers of varying skill sets and experience levels. The role requires working on the latest exciting technologies as well as older Microsoft stack technologies. Responsibilities Estimate scope and timescales ¡­","2020-12-05T04:18:31Z","eyJhbGciOiJIUzI1NiJ9.eyJpIjoiMTg2Mjg2NDkwOSIsInMiOiJib0c5dGI4NzZ4R1BCOXBlVVFwQk93In0.Bf4mRJzRVo1Oxd0z66YdMaBF76t68r4qmWRdGmb6LdA",NA,NA,"IT Jobs","Adzuna::API::Response::Category","it-jobs","Adzuna::API::Response::Company","Hunter Selection Limited","Swindon, Dudley","c(""UK"", ""West Midlands"", ""Dudley"", ""Swindon"")","Adzuna::API::Response::Location"
"8","https://www.adzuna.co.uk/jobs/land/ad/1826896462?se=boG9tb876xGPB9peUQpBOw&utm_medium=api&utm_source=f0c87e31&v=1EDB41198F6C548856BA76B18DE26FACF99345EF",0,"Adzuna::API::Response::Job",36480,"Senior Nurse",50.8806,"1826896462","0",-1.03341,"Location: Waterlooville Reference: DSRef.44722 Unit Manager RGN/RMN Up to ¡ê19per hour We currently have an opportunity for a Senior Nurse (RGN / RMN/ RN) to join my clients luxurious nursing home located in Waterlooville As a Registered Senior Nurse ( RGN / RMN/ RN ) you would be responsible for ensuring a high level of clinical care is provided to our residents. Through your strong clinical knowledge and established people management and leadership skills you will ensure the highest standards ¡­","2020-11-16T20:10:29Z","eyJhbGciOiJIUzI1NiJ9.eyJzIjoiYm9HOXRiODc2eEdQQjlwZVVRcEJPdyIsImkiOiIxODI2ODk2NDYyIn0.fTl_j_uLlMO-69DC-WEoSjb9UdHs_Tvf2ad7HYvETDw",NA,NA,"Healthcare & Nursing Jobs","Adzuna::API::Response::Category","healthcare-nursing-jobs","Adzuna::API::Response::Company","Remedicare","Waterlooville, Hampshire","c(""UK"", ""South East England"", ""Hampshire"", ""Waterlooville"")","Adzuna::API::Response::Location"
"9","https://www.adzuna.co.uk/jobs/land/ad/1872522537?se=boG9tb876xGPB9peUQpBOw&utm_medium=api&utm_source=f0c87e31&v=A29A3A3AEB87EE5B9BCB081960E3F80C1ADA53FC",0,"Adzuna::API::Response::Job",16742,"Marshal",53.957699,"1872522537","0",-1.08229,"Hours: 37 per week Working Hours: Monday-Friday, 9.00am-5.00pm. Pay: ¡ê8.72 per hour National Minimum Wage Location: York City Centre We are currently looking for 1 full time Court Marshal to join a busy team within York County Court. The role is a long-term temporary position working 37 hours a week, Monday to Friday, between 9.00am-5.00pm until Mach 31st 2021. What is expected of you: "" Keep yourself, Visitors and Staff safe by abiding by all Covid 19 measures in place throughout the building.¡­","2020-12-10T02:35:08Z","eyJhbGciOiJIUzI1NiJ9.eyJzIjoiYm9HOXRiODc2eEdQQjlwZVVRcEJPdyIsImkiOiIxODcyNTIyNTM3In0.AS8TrCeusNxLoVvMo6JM0IdSAWUgD-kv7ryOlXvy3XI",NA,NA,"Domestic help & Cleaning Jobs","Adzuna::API::Response::Category","domestic-help-cleaning-jobs","Adzuna::API::Response::Company","Brook Street  Ltd","York, North Yorkshire","c(""UK"", ""Yorkshire And The Humber"", ""North Yorkshire"", ""York"")","Adzuna::API::Response::Location"
"10","https://www.adzuna.co.uk/jobs/land/ad/1871672908?se=boG9tb876xGPB9peUQpBOw&utm_medium=api&utm_source=f0c87e31&v=68B37EC8DDE7B35DBEC748ED80F413D0176D201A",12260.73,"Adzuna::API::Response::Job",12260.73,"Female Support Worker",51.790901,"1871672908","1",1.15623,"Job Title: Female Support Worker Contract: 30 hours per week Location: Clacton Pay Rate: ¡ê8.86 per hour About this Job: We are looking for friendly, caring, reliable and conscientious care staff to provide support to three elderly ladies with Learning Disabilities in one of our Supported Living Schemes based in Clacton-on-Sea You will be supporting to achieve the following: Support with activities involved in daily life Personal Care Promote their independence Support the quality of life and po¡­","2020-12-09T18:17:59Z","eyJhbGciOiJIUzI1NiJ9.eyJzIjoiYm9HOXRiODc2eEdQQjlwZVVRcEJPdyIsImkiOiIxODcxNjcyOTA4In0.YGvSe6Q2-1GwXqxbCe-bSpFLCet4blS8DIc-FN2YBek",NA,NA,"Healthcare & Nursing Jobs","Adzuna::API::Response::Category","healthcare-nursing-jobs","Adzuna::API::Response::Company","Voyage Care Ltd","Clacton-On-Sea, Essex","c(""UK"", ""Eastern England"", ""Essex"", ""Clacton-On-Sea"")","Adzuna::API::Response::Location"
