"","id","salary_is_predicted","adref","contract_type","created","__CLASS__","salary_min","longitude","salary_max","redirect_url","title","description","latitude","contract_time","tag","label","__CLASS__","display_name","__CLASS__","area","display_name","__CLASS__"
"1","1870037834","1","eyJhbGciOiJIUzI1NiJ9.eyJpIjoiMTg3MDAzNzgzNCIsInMiOiJrRWlUSjd3NzZ4R2Y1dFV0ZXhyNmFRIn0.DzyOPCvcOGG4eNo8-xGJ4dtNAbApIkZMvZEfJ4lCNtQ","permanent","2020-12-09T00:21:09Z","Adzuna::API::Response::Job",41885.45,-0.139134,41885.45,"https://www.adzuna.co.uk/jobs/details/1870037834?se=kEiTJ7w76xGf5tUtexr6aQ&utm_medium=api&utm_source=f0c87e31&v=DFA397A9EAB818275508D20A042992925B19BA93","B2B Marketing Manager","Adzuna is a job search engine that lists every job, everywhere. From launch in the UK in 2011, we now have more than 10 million visitors a month and are busy conquering the world from our office in West London, helping millions of people find better, more fulfilling jobs. The role: Adzuna¡¯s success to date has been down to the skills, hard work and determination of the brilliant and diverse group of people we have hired across the globe. Right now, we're seeking a B2B Marketing Manager to defin¡­",51.503378,"full_time","pr-advertising-marketing-jobs","PR, Advertising & Marketing Jobs","Adzuna::API::Response::Category","Adzuna","Adzuna::API::Response::Company","c(""UK"", ""London"")","London, UK","Adzuna::API::Response::Location"
"2","1873434639","0","eyJhbGciOiJIUzI1NiJ9.eyJpIjoiMTg3MzQzNDYzOSIsInMiOiJrRWlUSjd3NzZ4R2Y1dFV0ZXhyNmFRIn0.KuZ_sWo2PnKf2-71CTyWzV_awSqX7iZNFxetMkrSnKg","permanent","2020-12-10T14:53:42Z","Adzuna::API::Response::Job",9,-0.468044,10,"https://www.adzuna.co.uk/jobs/details/1873434639?se=kEiTJ7w76xGf5tUtexr6aQ&utm_medium=api&utm_source=f0c87e31&v=74C622B95FDAAC2007B379C361F93EC49FBD32E6","Daytime Care Assistant","Better Healthcare Services are recruiting care workers to provide the best standard of care when entering client's homes. We cover the following work area¡¯s; Bedford, Kempston, Brickhill and Putnoe. This opportunity attracts a pay rate of ¡ê9.00 weekdays, ¡ê9.25 weekends, and ¡ê10.00 per hour bank holidays. Working hours for this role are 07:00- 14:00 our only requirement is every other weekend with a view to have days off in the weekday Key Information Providing Personal Care and Support to Clien¡­",52.1357,"full_time","healthcare-nursing-jobs","Healthcare & Nursing Jobs","Adzuna::API::Response::Category","Better Healthcare Services","Adzuna::API::Response::Company","c(""UK"", ""Eastern England"", ""Bedfordshire"", ""Bedford"")","Bedford, Bedfordshire","Adzuna::API::Response::Location"
"3","1838718333","0","eyJhbGciOiJIUzI1NiJ9.eyJpIjoiMTgzODcxODMzMyIsInMiOiJrRWlUSjd3NzZ4R2Y1dFV0ZXhyNmFRIn0.eKQ6aP5q6lakaP71mmRfvYb-pKQeln_FFPuu9I0wFIs","permanent","2020-11-22T17:00:15Z","Adzuna::API::Response::Job",40000,-0.139134,50000,"https://www.adzuna.co.uk/jobs/details/1838718333?se=kEiTJ7w76xGf5tUtexr6aQ&utm_medium=api&utm_source=f0c87e31&v=A82CE0DB8FBE2F865B9640C7FC9A3C2E6ED1C579","Full Stack Developer","The Role We are looking for an experienced full-stack developer with deep knowledge of Python (Django) and a passion for building world-class experiences. You will need to be a self-starter able to multitask while working within a small team and capable of dealing with our 700% month on month growth. Experience & Qualifications We don't believe there is a perfect recipe of qualifications that will ensure an excellent fit. If you like what you've read so far and the idea of joining our team exci¡­",51.503378,"full_time","it-jobs","IT Jobs","Adzuna::API::Response::Category","Digital Boost","Adzuna::API::Response::Company","c(""UK"", ""London"")","London, UK","Adzuna::API::Response::Location"
"4","1857347492","0","eyJhbGciOiJIUzI1NiJ9.eyJzIjoia0VpVEo3dzc2eEdmNXRVdGV4cjZhUSIsImkiOiIxODU3MzQ3NDkyIn0.72p7OnC9-xnM4J8T1wd6gBzJhygQdhjqDZOEFiQ_jhw","permanent","2020-12-02T14:39:14Z","Adzuna::API::Response::Job",9,-1.603551,9,"https://www.adzuna.co.uk/jobs/details/1857347492?se=kEiTJ7w76xGf5tUtexr6aQ&utm_medium=api&utm_source=f0c87e31&v=8C0277FED76555E5ABC20A8AC67F622D1B9EE9A0","Cleaner","Cleaner Atlas FM is looking to recruit a cleaning operative. Location: Newcastle upon Tyne, NE1 3LA Salary: ¡ê9.25 Shift Pattern: Mon & Thu (8:00am-17:00pm) Bank holiday might be required to work Role Summary To carry out and assist with a variety of cleaning activities. Core Duties/Responsibilities The successful candidate will be responsible for the following: ¡¤ Ensure cleaning is complete to the highest standards at all times ¡¤ Maintain Health and Safety standards at all times ¡¤ Ensure equipm¡­",54.969878,"full_time","domestic-help-cleaning-jobs","Domestic help & Cleaning Jobs","Adzuna::API::Response::Category",NA,"Adzuna::API::Response::Company","c(""UK"", ""North East England"", ""Tyne & Wear"", ""Newcastle Upon Tyne"", ""Shieldfield"")","Shieldfield, Newcastle Upon Tyne","Adzuna::API::Response::Location"
"5","1833448198","0","eyJhbGciOiJIUzI1NiJ9.eyJzIjoia0VpVEo3dzc2eEdmNXRVdGV4cjZhUSIsImkiOiIxODMzNDQ4MTk4In0.0ed9265tTik9n4VbYTHR084B6WpUdEPqlif7QGb14ZA","contract","2020-11-19T17:10:09Z","Adzuna::API::Response::Job",25200,-1.13081,NA,"https://www.adzuna.co.uk/jobs/details/1833448198?se=kEiTJ7w76xGf5tUtexr6aQ&utm_medium=api&utm_source=f0c87e31&v=82711F6CDD8FFDE619858DE5773B6898BB2C2EE0","EFL Spring Centre Manager","Purpose of the role The Centre Manager (CM) is responsible for the smooth, efficient and successful running of all aspects of the designated Young Learner Centre. The Centre Manager oversees the centres daily activities and team member duties. The CM manages the safeguarding and pastoral care of Young Learners as well as the security, operational, financial matters while overseeing the booking of resources. Main Duties & Responsibilities Centre Work with the management team to ensure smooth run¡­",51.4492,"full_time","teaching-jobs","Teaching Jobs","Adzuna::API::Response::Category","BSC Young Learners","Adzuna::API::Response::Company","c(""UK"", ""South East England"", ""Berkshire"", ""Reading"", ""Bradfield"")","Bradfield, Reading","Adzuna::API::Response::Location"
"6","1833856774","1","eyJhbGciOiJIUzI1NiJ9.eyJzIjoia0VpVEo3dzc2eEdmNXRVdGV4cjZhUSIsImkiOiIxODMzODU2Nzc0In0.ODnsRSix7s_raKLhoGB3ZK4CxV4fcnQwijlkNFfMzo0",NA,"2020-11-19T20:36:52Z","Adzuna::API::Response::Job",17721.59,NA,17721.59,"https://www.adzuna.co.uk/jobs/land/ad/1833856774?se=kEiTJ7w76xGf5tUtexr6aQ&utm_medium=api&utm_source=f0c87e31&v=3BFB0B4E43320C7248B0E517E8A18C8EF8DB02C1","Community adviser working with the Roma community","Community advisers working with the Roma community 25 hours a week Contract: 1 st February 2021 to 7 th May 2021 plus holiday Salary dependent on location Band 1 - ¡ê16.93 Band 2 - ¡ê14.67 Band 3 - ¡ê13.01 Hours are flexible and need to be worked to best support the community the role works with (this will include some evening and weekend work) Use your language skills to make a difference The census is a survey of the entire population of England and Wales that happens every 10 years. It¡¯s run by¡­",NA,NA,"social-work-jobs","Social work Jobs","Adzuna::API::Response::Category","Office for National Statistics   Census","Adzuna::API::Response::Company","UK","UK","Adzuna::API::Response::Location"
"7","1835326799","0","eyJhbGciOiJIUzI1NiJ9.eyJzIjoia0VpVEo3dzc2eEdmNXRVdGV4cjZhUSIsImkiOiIxODM1MzI2Nzk5In0.KBjhvDk2RxopKxk_AYzTN2qRkQoFIX2rbWun3a-FjNY","permanent","2020-11-20T14:18:36Z","Adzuna::API::Response::Job",17280,-1.89359,17280,"https://www.adzuna.co.uk/jobs/details/1835326799?se=kEiTJ7w76xGf5tUtexr6aQ&utm_medium=api&utm_source=f0c87e31&v=D58B6E121326EA406FCD60A422DBA4E78FAE3E6E","Care Asssistant","Before you proceed: Do you have a good command of spoken & written English? Are you able to provide personal care for both men and women? Are you able to complete a Enhanced DBS Check? Please note that your own means of transport is essential. Drivers and Applicant willing to use Public Transport Required. . Location: We also have vacancies in other parts of Birmingham namely:Great Barr, West Bromwich, Smethwick,Oldbury, Dudley, Wednesbury. About Pleasant Valley Care We provide home care servic¡­",52.483002,"part_time","social-work-jobs","Social work Jobs","Adzuna::API::Response::Category","Pleasant Valley Care","Adzuna::API::Response::Company","c(""UK"", ""West Midlands"", ""Birmingham"")","Birmingham, West Midlands","Adzuna::API::Response::Location"
"8","1847714465","1","eyJhbGciOiJIUzI1NiJ9.eyJzIjoia0VpVEo3dzc2eEdmNXRVdGV4cjZhUSIsImkiOiIxODQ3NzE0NDY1In0.MW7_ua3mAxJIdrH2uYiOzuxuyYsICHTvHbDGzE5sRw4","contract","2020-11-27T14:41:40Z","Adzuna::API::Response::Job",23848.03,-0.139134,23848.03,"https://www.adzuna.co.uk/jobs/details/1847714465?se=kEiTJ7w76xGf5tUtexr6aQ&utm_medium=api&utm_source=f0c87e31&v=BA77F765F080216AF55F9C1CACA188EB0C684B93","Graphics, Visual Design ¨C Virtual Intern or CO-OP","Job Type: UNPAID Internship or CO-OP Job Description: ¡¤ Create graphics. ¡¤ Edit images and videos. ¡¤ Participate in a team to organize virtual (online) global conferences. ¡¤ Use social media platforms such as LinkedIn to invite conference speakers, attendees, or sponsors. ¡¤ Perform social marketing to promote conferences and events and our products. ¡¤ Agenda preparation, care of speakers, attendees and sponsors, events coordination. Requirements: ¡¤ You are studying for or have a University degr¡­",51.503378,"part_time","it-jobs","IT Jobs","Adzuna::API::Response::Category","GAOTek","Adzuna::API::Response::Company","c(""UK"", ""London"")","London, UK","Adzuna::API::Response::Location"
"9","1818315366","0","eyJhbGciOiJIUzI1NiJ9.eyJzIjoia0VpVEo3dzc2eEdmNXRVdGV4cjZhUSIsImkiOiIxODE4MzE1MzY2In0.NybObA2uxWi-eWjwvnXLdIrT9GlSK3ACOfqLbj1EYII","permanent","2020-11-12T16:39:31Z","Adzuna::API::Response::Job",40000,-0.508783,50000,"https://www.adzuna.co.uk/jobs/land/ad/1818315366?se=kEiTJ7w76xGf5tUtexr6aQ&utm_medium=api&utm_source=f0c87e31&v=E352A549A0AA0E1D13AC9B148443679212098EC1","Business Solution Architect","Job Purpose: Be a member of a team responsible for supporting technical design architects and business managers to produce proposal documents and visit customer sites for presentations of proposals, escalations and site surveys. The role will be customer-facing as well as involve collaborating with different projects and technical teams. Key Duties and Responsibilities ¡¤ Provide technical assistance to the business managers team ¡¤ Attend prospective and new customer sites to carry out site surv¡­",51.435001,"full_time","it-jobs","IT Jobs","Adzuna::API::Response::Category","TDM Group","Adzuna::API::Response::Company","c(""UK"", ""South East England"", ""Surrey"", ""Staines"")","Staines, Surrey","Adzuna::API::Response::Location"
"10","1854965717","0","eyJhbGciOiJIUzI1NiJ9.eyJzIjoia0VpVEo3dzc2eEdmNXRVdGV4cjZhUSIsImkiOiIxODU0OTY1NzE3In0.fQchzIzTStRwO6eThnb_oyz3bO4lm9MlgREhruTZNCw","permanent","2020-12-01T15:54:07Z","Adzuna::API::Response::Job",0,0.731556,50000,"https://www.adzuna.co.uk/jobs/details/1854965717?se=kEiTJ7w76xGf5tUtexr6aQ&utm_medium=api&utm_source=f0c87e31&v=AA214F2B054C26600649242F37D1085653237DE0","Deputy Manager - Nurse","Deputy Manager - PIN required - up to ¡ê50k plus bonus Position: Nursing Home Deputy Manager Location: Kent Salary: ¡ê35-50 K plus Bonus Are you an experienced, motivated and compassionate Deputy Manager? Are you looking for a new challenging role with an Employer known for their excellence? Amber Mace is delighted to be working on behalf of an OUTSTANDING care provider in the South East of England. This Nursing home is currently looking for an experienced deputy manager to assist the manager wit¡­",51.340698,"full_time","social-work-jobs","Social work Jobs","Adzuna::API::Response::Category","Amber Mace","Adzuna::API::Response::Company","c(""UK"", ""South East England"", ""Kent"", ""Sittingbourne"")","Sittingbourne, Kent","Adzuna::API::Response::Location"
